cust_id,seg_name,update_at,active_flag
4402,ONE-OFFS,2014-06-01 00:00:00,N
4402,LAPSED,2015-12-01 00:00:00,N
4402,LAPSED,2015-06-01 00:00:00,N
4402,LAPSED,2014-01-01 00:00:00,N
4402,ONE-OFFS,2016-02-01 00:00:00,Y
11248,ONE-OFFS,2015-10-01 00:00:00,N
11248,LAPSED,2014-01-01 00:00:00,N
11248,LAPSED,2014-02-01 00:00:00,N
11248,LOYAL,2016-02-01 00:00:00,Y
11248,INACTIVE,2014-08-01 00:00:00,N
11248,INFREQUENT,2016-01-01 00:00:00,N
12064,INFREQUENT,2016-02-01 00:00:00,Y
12064,INFREQUENT,2014-03-01 00:00:00,N
12064,INFREQUENT,2016-06-01 00:00:00,Y
12064,LOYAL,2014-01-01 00:00:00,N
12064,INFREQUENT,2014-09-01 00:00:00,N
12064,INFREQUENT,2014-02-01 00:00:00,N
12064,ONE-OFFS,2014-10-01 00:00:00,N
12064,INFREQUENT,2014-12-01 00:00:00,N
12064,INFREQUENT,2014-07-01 00:00:00,N
12064,ONE-OFFS,2015-03-01 00:00:00,N
12064,INFREQUENT,2015-06-01 00:00:00,N
12064,INFREQUENT,2015-12-01 00:00:00,N
15088,ONE-OFFS,2016-02-01 00:00:00,Y
15088,GONE AWAY,2015-06-01 00:00:00,N
66706,INFREQUENT,2014-01-01 00:00:00,N
66706,INFREQUENT,2015-03-01 00:00:00,N
66706,LOYAL,2015-06-01 00:00:00,N
66706,ONE-OFFS,2015-12-01 00:00:00,N
66706,ONE-OFFS,2016-02-01 00:00:00,Y
66706,INFREQUENT,2015-11-01 00:00:00,N
66706,INFREQUENT,2015-01-01 00:00:00,N
66706,INFREQUENT,2016-04-01 00:00:00,Y
66706,LOYAL,2014-12-01 00:00:00,N
66706,LAPSED,2016-01-01 00:00:00,N
104497,LAPSED,2014-01-01 00:00:00,N
104497,LAPSED,2014-03-01 00:00:00,N
104497,ONE-OFFS,2014-05-01 00:00:00,N
104497,INFREQUENT,2015-05-01 00:00:00,Y
104497,ONE-OFFS,2016-05-01 00:00:00,Y
106895,INFREQUENT,2014-11-01 00:00:00,N
106895,INFREQUENT,2014-01-01 00:00:00,N
106895,VIP,2015-06-01 00:00:00,N
106895,LOYAL,2015-01-01 00:00:00,N
106895,INFREQUENT,2014-12-01 00:00:00,N
106895,LOYAL,2015-02-01 00:00:00,N
106895,VIP,2015-03-01 00:00:00,N
106895,LOYAL,2016-01-01 00:00:00,N
106895,INFREQUENT,2016-03-01 00:00:00,Y
106895,INFREQUENT,2016-06-01 00:00:00,Y
107581,GONE AWAY,2014-01-01 00:00:00,N
107581,LAPSED,2015-12-01 00:00:00,N
107581,ONE-OFFS,2016-02-01 00:00:00,Y
107581,LAPSED,2015-06-01 00:00:00,N
116001,INFREQUENT,2014-12-01 00:00:00,N
116001,ONE-OFFS,2014-01-01 00:00:00,N
116001,INFREQUENT,2015-01-01 00:00:00,Y
116001,LOYAL,2016-05-01 00:00:00,Y
116001,INFREQUENT,2014-06-01 00:00:00,N
126169,ONE-OFFS,2014-11-01 00:00:00,N
126169,ONE-OFFS,2014-01-01 00:00:00,N
126169,INFREQUENT,2014-03-01 00:00:00,N
126169,ONE-OFFS,2015-03-01 00:00:00,Y
126169,INFREQUENT,2015-02-01 00:00:00,N
139693,INFREQUENT,2015-09-01 00:00:00,N
139693,INFREQUENT,2016-04-01 00:00:00,Y
139693,INFREQUENT,2016-02-01 00:00:00,Y
139693,INFREQUENT,2014-01-01 00:00:00,N
139693,LAPSED,2015-01-01 00:00:00,N
139693,ONE-OFFS,2015-04-01 00:00:00,N
139693,INFREQUENT,2015-08-01 00:00:00,N
149925,LAPSED,2015-03-01 00:00:00,N
149925,ONE-OFFS,2014-01-01 00:00:00,N
149925,ONE-OFFS,2015-10-01 00:00:00,N
149925,LAPSED,2014-09-01 00:00:00,N
149925,INACTIVE,2015-09-01 00:00:00,N
149925,INFREQUENT,2016-02-01 00:00:00,Y
151879,INFREQUENT,2014-03-01 00:00:00,N
151879,LOYAL,2014-07-01 00:00:00,N
151879,INFREQUENT,2015-09-01 00:00:00,N
151879,INFREQUENT,2015-12-01 00:00:00,N
151879,LOYAL,2016-01-01 00:00:00,Y
151879,INFREQUENT,2015-02-01 00:00:00,N
151879,INFREQUENT,2014-12-01 00:00:00,N
151879,INFREQUENT,2015-07-01 00:00:00,N
151879,INFREQUENT,2014-02-01 00:00:00,N
151879,ONE-OFFS,2014-01-01 00:00:00,N
159853,ONE-OFFS,2016-02-01 00:00:00,Y
159853,GONE AWAY,2015-11-01 00:00:00,N
159853,INACTIVE,2015-06-01 00:00:00,N
159853,INACTIVE,2016-01-01 00:00:00,N
164855,INFREQUENT,2014-01-01 00:00:00,N
164855,INFREQUENT,2016-02-01 00:00:00,Y
164855,ONE-OFFS,2015-05-01 00:00:00,N
187653,INFREQUENT,2014-12-01 00:00:00,N
187653,ONE-OFFS,2014-01-01 00:00:00,N
187653,INFREQUENT,2016-03-01 00:00:00,Y
187653,LAPSED,2014-08-01 00:00:00,N
187653,ONE-OFFS,2014-09-01 00:00:00,N
187653,INFREQUENT,2016-02-01 00:00:00,N
187653,INFREQUENT,2015-11-01 00:00:00,N
204348,INFREQUENT,2014-08-01 00:00:00,N
204348,LAPSED,2015-08-01 00:00:00,N
204348,GONE AWAY,2014-01-01 00:00:00,N
204348,INFREQUENT,2016-01-01 00:00:00,Y
285554,INFREQUENT,2015-01-01 00:00:00,N
285554,LOYAL,2014-08-01 00:00:00,N
285554,ONE-OFFS,2015-02-01 00:00:00,N
285554,VIP,2014-01-01 00:00:00,N
285554,LOYAL,2014-09-01 00:00:00,N
285554,INFREQUENT,2015-11-01 00:00:00,Y
288941,VIP,2014-03-01 00:00:00,N
288941,VIP,2015-01-01 00:00:00,Y
288941,VIP,2014-01-01 00:00:00,N
288941,VIP,2014-11-01 00:00:00,N
288941,VIP,2014-02-01 00:00:00,N
288941,VIP,2014-12-01 00:00:00,N
298867,ONE-OFFS,2016-06-01 00:00:00,Y
298867,NEW,2014-04-01 00:00:00,N
298867,INFREQUENT,2014-09-01 00:00:00,N
298867,INFREQUENT,2015-05-01 00:00:00,Y
298867,INFREQUENT,2016-04-01 00:00:00,Y
377631,INFREQUENT,2014-03-01 00:00:00,N
377631,ONE-OFFS,2014-01-01 00:00:00,N
377631,INFREQUENT,2014-11-01 00:00:00,N
377631,INFREQUENT,2014-08-01 00:00:00,N
377631,INFREQUENT,2015-11-01 00:00:00,N
377631,INFREQUENT,2015-10-01 00:00:00,N
377631,INFREQUENT,2016-02-01 00:00:00,Y
440432,INFREQUENT,2016-05-01 00:00:00,Y
440432,INFREQUENT,2015-02-01 00:00:00,N
440432,INFREQUENT,2014-02-01 00:00:00,N
440432,NEW,2014-01-01 00:00:00,N
440432,INFREQUENT,2015-08-01 00:00:00,N
440432,INFREQUENT,2016-02-01 00:00:00,Y
449146,LOYAL,2014-01-01 00:00:00,N
449146,LOYAL,2014-09-01 00:00:00,N
449146,LOYAL,2015-04-01 00:00:00,N
449146,LOYAL,2014-10-01 00:00:00,N
449146,INFREQUENT,2015-03-01 00:00:00,N
449146,LOYAL,2015-06-01 00:00:00,N
449146,LOYAL,2015-09-01 00:00:00,N
449146,LOYAL,2014-07-01 00:00:00,N
449146,INFREQUENT,2016-06-01 00:00:00,Y
449146,INFREQUENT,2014-11-01 00:00:00,N
449146,INFREQUENT,2015-02-01 00:00:00,N
449146,LOYAL,2015-07-01 00:00:00,N
449146,LOYAL,2015-12-01 00:00:00,Y
449146,INFREQUENT,2016-04-01 00:00:00,Y
465909,ONE-OFFS,2014-10-01 00:00:00,N
465909,INFREQUENT,2014-09-01 00:00:00,N
465909,ONE-OFFS,2014-06-01 00:00:00,N
465909,INFREQUENT,2014-01-01 00:00:00,N
465909,LAPSED,2015-09-01 00:00:00,N
465909,ONE-OFFS,2016-02-01 00:00:00,Y
500708,LAPSED,2015-12-01 00:00:00,N
500708,ONE-OFFS,2014-12-01 00:00:00,N
500708,ONE-OFFS,2016-01-01 00:00:00,N
500708,INACTIVE,2014-01-01 00:00:00,N
500708,INFREQUENT,2016-02-01 00:00:00,Y
505502,INFREQUENT,2014-10-01 00:00:00,N
505502,LOYAL,2015-01-01 00:00:00,N
505502,INFREQUENT,2014-01-01 00:00:00,N
505502,INFREQUENT,2015-11-01 00:00:00,Y
505502,INFREQUENT,2015-02-01 00:00:00,N
510474,LOYAL,2014-01-01 00:00:00,N
510474,VIP,2014-06-01 00:00:00,N
510474,LOYAL,2015-06-01 00:00:00,N
510474,LOYAL,2014-12-01 00:00:00,N
510474,LOYAL,2016-01-01 00:00:00,Y
510474,LOYAL,2015-07-01 00:00:00,N
513099,ONE-OFFS,2014-06-01 00:00:00,N
513099,INFREQUENT,2014-05-01 00:00:00,N
513099,LAPSED,2014-10-01 00:00:00,N
513099,ONE-OFFS,2016-02-01 00:00:00,Y
513099,LAPSED,2016-01-01 00:00:00,N
513099,INFREQUENT,2014-01-01 00:00:00,N
513099,ONE-OFFS,2015-01-01 00:00:00,N
527516,INFREQUENT,2015-12-01 00:00:00,N
527516,INFREQUENT,2015-01-01 00:00:00,N
527516,INFREQUENT,2014-05-01 00:00:00,N
527516,ONE-OFFS,2014-12-01 00:00:00,N
527516,ONE-OFFS,2015-05-01 00:00:00,N
527516,ONE-OFFS,2014-01-01 00:00:00,N
527516,ONE-OFFS,2016-01-01 00:00:00,N
527516,INFREQUENT,2016-02-01 00:00:00,Y
549862,LAPSED,2014-06-01 00:00:00,N
549862,LOYAL,2015-03-01 00:00:00,N
549862,ONE-OFFS,2014-02-01 00:00:00,N
549862,INFREQUENT,2015-07-01 00:00:00,Y
549862,INFREQUENT,2014-01-01 00:00:00,N
549862,INFREQUENT,2014-09-01 00:00:00,N
549862,ONE-OFFS,2014-07-01 00:00:00,N
555295,INFREQUENT,2014-03-01 00:00:00,N
555295,LOYAL,2015-01-01 00:00:00,N
555295,LOYAL,2014-01-01 00:00:00,N
555295,INFREQUENT,2014-07-01 00:00:00,N
555295,ONE-OFFS,2014-08-01 00:00:00,N
555295,INFREQUENT,2014-09-01 00:00:00,N
555295,VIP,2015-10-01 00:00:00,N
555295,LOYAL,2016-01-01 00:00:00,Y
558658,ONE-OFFS,2014-07-01 00:00:00,N
558658,INFREQUENT,2014-01-01 00:00:00,N
558658,INFREQUENT,2014-12-01 00:00:00,N
558658,LOYAL,2015-02-01 00:00:00,N
558658,LAPSED,2014-08-01 00:00:00,N
558658,INFREQUENT,2015-12-01 00:00:00,Y
561732,INACTIVE,2015-06-01 00:00:00,N
561732,ONE-OFFS,2016-02-01 00:00:00,Y
561732,GONE AWAY,2015-11-01 00:00:00,N
561732,INACTIVE,2016-01-01 00:00:00,N
578310,INACTIVE,2014-01-01 00:00:00,N
578310,LAPSED,2015-03-01 00:00:00,N
578310,INFREQUENT,2015-08-01 00:00:00,N
578310,ONE-OFFS,2015-06-01 00:00:00,N
578310,LOYAL,2015-10-01 00:00:00,Y
578310,ONE-OFFS,2014-03-01 00:00:00,N
605632,GONE AWAY,2015-11-01 00:00:00,N
