trans_id,trans_dt,cust_id,prod_id,item_qty,item_price,Revenue
1,2016-01-02 10:06,9085146,223029,1,42.99,42.99
2,2016-01-02 10:30,1215814,252270,1,103.95,103.95
2,2016-01-02 10:30,1215814,260383,1,74.99,74.99
4,2016-01-02 11:33,18511160,269119,1,51.99,51.99
4,2016-01-02 11:33,18511160,411162,1,59.99,59.99
6,2016-01-02 11:35,15251041,251678,1,61.99,61.99
7,2016-01-02 11:36,14769966,218373,1,49.99,49.99
7,2016-01-02 11:36,14769966,243278,1,23.49,23.49
9,2016-01-02 11:55,5904487,258744,1,38.99,38.99
10,2016-01-02 12:16,3769351,255802,1,32.99,32.99
13,2016-01-02 12:25,15088,254753,1,22.99,22.99
13,2016-01-02 12:25,15088,512442,1,49.99,49.99
13,2016-01-02 12:25,15088,59836611,1,56.99,56.99
13,2016-01-02 12:25,15088,125130084,1,34.99,34.99
13,2016-01-02 12:25,15088,226594823,1,66.99,66.99
16,2016-01-02 12:31,5473878,225915228,1,65.99,65.99
17,2016-01-02 12:35,2591778,223453,1,49.99,49.99
19,2016-01-02 12:36,21233401,367185,1,14.9,14.9
19,2016-01-02 12:36,21233401,440174,1,12.9,12.9
19,2016-01-02 12:36,21233401,166838327,1,13.99,13.99
21,2016-01-02 13:03,11805690,238473,1,25.99,25.99
23,2016-01-02 13:16,15458323,265690,1,12.99,12.99
23,2016-01-02 13:16,15458323,418984,1,50.99,50.99
23,2016-01-02 13:16,15458323,44399932,1,8.99,8.99
25,2016-01-02 13:24,5564276,135686345,1,33.99,33.99
26,2016-01-02 13:34,16164748,224608,1,82.99,82.99
26,2016-01-02 13:34,16164748,242654,1,56.99,56.99
28,2016-01-02 14:26,8431623,273788,1,30.99,30.99
29,2016-01-02 14:36,21233374,220482193,1,17.49,17.49
30,2016-01-02 15:06,619017,276330,1,98.99,98.99
31,2016-01-02 15:15,20323265,223877007,1,93.99,93.99
32,2016-01-02 16:01,12343039,237168,1,38.99,38.99
35,2016-01-02 16:03,5165382,232979,1,20.99,20.99
35,2016-01-02 16:03,5165382,243169,1,67.99,67.99
35,2016-01-02 16:03,5165382,248743,1,24.99,24.99
35,2016-01-02 16:03,5165382,256312,1,33.99,33.99
35,2016-01-02 16:03,5165382,225235717,1,1.99,1.99
38,2016-01-02 16:08,13677114,430046,1,34.99,34.99
39,2016-01-02 11:32,21229925,227248,1,51.09,51.09
39,2016-01-02 11:32,21229925,105733160,1,39.19,39.19
41,2016-01-02 12:03,967361,224728,1,70.99,70.99
41,2016-01-02 12:03,967361,227384,1,24.99,24.99
43,2016-01-02 12:06,967361,217102,1,24.99,24.99
44,2016-01-02 15:20,1832062,211225,1,38.9,38.9
45,2016-01-02 16:04,159853,131184039,1,58.79,58.79
46,2016-01-02 17:25,1694959,456654,1,61.99,61.99
47,2016-01-02 17:28,1031472,261351,1,84.99,84.99
48,2016-01-02 12:59,8440187,483541,1,18.19,18.19
48,2016-01-02 12:59,8440187,220482193,1,17.49,17.49
50,2016-01-02 14:19,2276060,514680,1,21.99,21.99
51,2016-01-02 16:42,8068131,43113134,1,7.99,7.99
52,2016-01-02 9:36,465909,365730,1,22.99,22.99
53,2016-01-02 9:42,6511925,114149999,1,62.99,62.99
53,2016-01-02 9:42,6511925,219125143,1,119.95,119.95
55,2016-01-02 9:44,4148623,250558,1,32.99,32.99
55,2016-01-02 9:44,4148623,287826,1,31.99,31.99
57,2016-01-02 10:49,14800452,261231,1,24.99,24.99
58,2016-01-02 12:02,4486900,249114,1,24.99,24.99
59,2016-01-02 13:50,11260625,252660,1,44.99,44.99
59,2016-01-02 13:50,11260625,243496372,1,38.49,38.49
62,2016-01-02 15:51,14225812,261117,1,15.99,15.99
62,2016-01-02 15:51,14225812,268232,1,15.99,15.99
62,2016-01-02 15:51,14225812,220482197,1,38.99,38.99
64,2016-01-02 15:52,14225812,225576,1,31.99,31.99
65,2016-01-02 9:35,1859764,44399908,1,9.99,9.99
66,2016-01-02 10:23,6121967,228691,1,19.59,19.59
67,2016-01-02 10:41,5607615,275284,1,103.95,103.95
68,2016-01-02 10:45,21233596,449428,1,88.99,88.99
69,2016-01-02 10:47,729100,218423,1,27.49,27.49
70,2016-01-02 11:18,21228779,249855,1,73.99,73.99
71,2016-01-02 11:26,10461603,251859,1,47.99,47.99
71,2016-01-02 11:26,10461603,266469,1,67.99,67.99
73,2016-01-02 12:12,4961774,231837,1,43.99,43.99
73,2016-01-02 12:12,4961774,241274,1,18.49,18.49
75,2016-01-02 12:13,3478820,229685,1,34.99,34.99
75,2016-01-02 12:13,3478820,240760451,1,52.49,52.49
77,2016-01-02 12:36,4452325,235622,1,47.99,47.99
78,2016-01-02 13:00,5685916,235452690,1,75.99,75.99
79,2016-01-02 13:19,126169,225926,1,23.99,23.99
80,2016-01-02 13:58,149925,227321,1,32.99,32.99
80,2016-01-02 13:58,149925,244824304,1,15.99,15.99
83,2016-01-02 14:03,20132046,246939,1,20.99,20.99
83,2016-01-02 14:03,20132046,254601,1,19.99,19.99
83,2016-01-02 14:03,20132046,371773,1,22.99,22.99
83,2016-01-02 14:03,20132046,79129315,1,22.99,22.99
86,2016-01-02 14:04,7625876,220482186,1,17.99,17.99
87,2016-01-02 10:24,5366783,240076670,1,46.19,46.19
88,2016-01-02 15:00,11209497,271546,1,8.9,8.9
89,2016-01-02 15:32,15295253,255963,4,25.9,103.6
90,2016-01-02 15:41,15295253,255963,4,25.9,103.6
91,2016-01-02 15:43,15295253,254347,2,19.53,39.06
92,2016-01-02 15:44,15295253,254347,2,19.53,39.06
93,2016-01-02 15:45,15295253,254749,2,26.9,53.8
94,2016-01-02 15:47,15295253,254749,2,26.9,53.8
95,2016-01-02 15:48,15295253,254749,2,26.9,53.8
97,2016-01-02 15:53,15295253,254347,1,19.53,19.53
97,2016-01-02 15:53,15295253,284330,1,19.5,19.5
97,2016-01-02 15:53,15295253,501303,1,37.99,37.99
99,2016-01-02 13:03,15062915,138262084,1,9.99,9.99
100,2016-01-02 13:36,19631094,259541,1,37.99,37.99
102,2016-01-02 13:54,8263798,244147,2,1.2,2.4
